dataset_name,run_label,seed,budget,coverage_target,frontier_set_size_llm,coverage_llm,point_risk_llm,frontier_set_size_reference,coverage_reference,point_risk_reference,set_size_gap_llm_minus_reference,coverage_gap_llm_minus_reference,risk_gap_llm_minus_reference
ANES96 vote,minimax_anes_schema_budgetgrid,4,80,0.9,1.0,0.95,0.05,0.91,0.89,0.06,0.08999999999999997,0.05999999999999994,-0.009999999999999995
ANES96 vote,minimax_anes_schema_budgetgrid,4,100,0.8,1.0,0.9375,0.0625,0.7875,0.7875,0.025,0.21250000000000002,0.15000000000000002,0.0375
ANES96 vote,minimax_anes_schema_budgetgrid,4,100,0.9,1.55,0.9875,0.0625,1.3125,1.0,0.0374999999999999,0.23750000000000004,-0.012499999999999956,0.0250000000000001
ANES96 vote,minimax_anes_schema_budgetgrid,4,120,0.8,0.9152542372881356,0.864406779661017,0.0677966101694915,0.9,0.9,0.05,0.015254237288135575,-0.035593220338983045,0.017796610169491495
ANES96 vote,minimax_anes_schema_budgetgrid,4,120,0.9,1.0,0.8793103448275862,0.1206896551724138,1.1,1.0,0.05,-0.10000000000000009,-0.12068965517241381,0.0706896551724138
ANES96 vote,minimax_anes_schema_budgetgrid,4,140,0.8,0.8421052631578947,0.8157894736842105,0.1052631578947368,0.825,0.825,0.0999999999999999,0.017105263157894735,-0.009210526315789447,0.0052631578947369
ANES96 vote,minimax_anes_schema_budgetgrid,4,140,0.9,1.0,0.925,0.0749999999999999,0.95,0.95,0.025,0.050000000000000044,-0.02499999999999991,0.0499999999999999
ANES96 vote,minimax_anes_schema_budgetgrid,5,30,0.8,0.9395973154362416,0.8859060402684564,0.0604026845637584,1.4333333333333331,0.9733333333333334,0.0666666666666666,-0.49373601789709154,-0.08742729306487695,-0.006263982102908197
ANES96 vote,minimax_anes_schema_budgetgrid,5,40,0.8,0.8260869565217391,0.7753623188405797,0.0869565217391304,0.8642857142857143,0.7857142857142857,0.1357142857142856,-0.03819875776397519,-0.010351966873705987,-0.04875776397515519
ANES96 vote,minimax_anes_schema_budgetgrid,5,40,0.9,0.9714285714285714,0.9142857142857144,0.0642857142857142,0.9357142857142856,0.8857142857142857,0.0642857142857142,0.03571428571428581,0.028571428571428692,0.0
ANES96 vote,minimax_anes_schema_budgetgrid,5,60,0.8,0.9833333333333332,0.9333333333333332,0.0583333333333333,0.9166666666666666,0.85,0.0916666666666666,0.06666666666666654,0.08333333333333326,-0.033333333333333305
ANES96 vote,minimax_anes_schema_budgetgrid,5,60,0.9,1.4583333333333333,0.975,0.0583333333333333,1.1916666666666669,0.975,0.0583333333333333,0.2666666666666664,0.0,0.0
ANES96 vote,minimax_anes_schema_budgetgrid,5,80,0.8,0.8367346938775511,0.7857142857142857,0.0612244897959183,0.97,0.94,0.04,-0.1332653061224489,-0.15428571428571425,0.021224489795918296
ANES96 vote,minimax_anes_schema_budgetgrid,5,80,0.9,1.163265306122449,0.9489795918367347,0.0612244897959183,0.97,0.94,0.04,0.19326530612244897,0.008979591836734802,0.021224489795918296
ANES96 vote,minimax_anes_schema_budgetgrid,5,100,0.8,0.9493670886075948,0.9240506329113924,0.0253164556962025,0.8125,0.8,0.0374999999999999,0.13686708860759478,0.1240506329113924,-0.012183544303797401
ANES96 vote,minimax_anes_schema_budgetgrid,5,100,0.9,0.975,0.9375,0.05,0.975,0.9625,0.025,0.0,-0.025000000000000022,0.025
ANES96 vote,minimax_anes_schema_budgetgrid,5,120,0.8,0.9322033898305084,0.9152542372881356,0.0169491525423728,0.8,0.7833333333333333,0.0333333333333333,0.1322033898305084,0.13192090395480227,-0.016384180790960497
ANES96 vote,minimax_anes_schema_budgetgrid,5,120,0.9,0.9666666666666668,0.9333333333333332,0.05,1.0,0.9666666666666668,0.0333333333333333,-0.033333333333333215,-0.03333333333333355,0.016666666666666705
