dataset_name,run_label,method_family,coverage_target,budget,n_cells,n_attained,attainment_rate,mean_frontier_set_size,se_frontier_set_size,ci95_low_frontier_set_size,ci95_high_frontier_set_size,mean_coverage,mean_point_risk
Adult income,minimax_adult_schema_budgetgrid,llm_prompt_policy_frontier,0.9,100,10,10,1.0,1.309375,0.02338535866733713,1.2635396970120192,1.3552103029879807,0.959375,0.178125
Adult income,minimax_adult_schema_budgetgrid,llm_prompt_policy_frontier,0.9,120,10,10,1.0,1.3386363636363636,0.029816164627506712,1.2801966809664505,1.3970760463062768,0.9568181818181818,0.1863636363636363
Adult income,minimax_adult_schema_budgetgrid,reference,0.8,30,10,10,1.0,1.1506666666666667,0.04040779780508693,1.0714673829686963,1.2298659503646372,0.8306666666666667,0.23066666666666658
Adult income,minimax_adult_schema_budgetgrid,reference,0.8,40,10,8,0.8,1.1357142857142857,0.04296330388889524,1.051506210092051,1.2199223613365204,0.8232142857142858,0.23303571428571423
Adult income,minimax_adult_schema_budgetgrid,reference,0.8,60,10,10,1.0,1.0641666666666665,0.02340761984198022,1.0182877317763852,1.1100456015569478,0.8116666666666668,0.22249999999999992
Adult income,minimax_adult_schema_budgetgrid,reference,0.8,80,10,10,1.0,1.0300000000000002,0.024810392087904524,0.9813716315077073,1.078628368492293,0.7909999999999999,0.22699999999999995
Adult income,minimax_adult_schema_budgetgrid,reference,0.8,100,10,10,1.0,1.0924999999999998,0.04437842318564782,1.0055182905561302,1.1794817094438694,0.8324999999999999,0.20875
Adult income,minimax_adult_schema_budgetgrid,reference,0.8,120,10,10,1.0,1.0233333333333332,0.03124969135650052,0.9620839382745922,1.0845827283920741,0.8216666666666667,0.19333333333333327
Adult income,minimax_adult_schema_budgetgrid,reference,0.8,140,10,8,0.8,0.98125,0.020996385743401513,0.940097083942933,1.022402916057067,0.796875,0.18749999999999994
Adult income,minimax_adult_schema_budgetgrid,reference,0.9,40,10,10,1.0,1.39,0.07521850257251668,1.2425717349578673,1.5374282650421325,0.9171428571428573,0.23428571428571426
Adult income,minimax_adult_schema_budgetgrid,reference,0.9,60,10,10,1.0,1.3583333333333336,0.03531166351571266,1.2891224728425368,1.4275441938241304,0.9200000000000002,0.23833333333333329
Adult income,minimax_adult_schema_budgetgrid,reference,0.9,80,10,10,1.0,1.302,0.034019602192461515,1.2353215797027755,1.3686784202972246,0.9040000000000001,0.23799999999999993
Adult income,minimax_adult_schema_budgetgrid,reference,0.9,100,10,10,1.0,1.37875,0.03436173986669864,1.3114009898612706,1.4460990101387292,0.9324999999999999,0.23749999999999996
Adult income,minimax_adult_schema_budgetgrid,reference,0.9,120,10,10,1.0,1.2533333333333334,0.02301368353023109,1.2082265136140804,1.2984401530525864,0.9066666666666666,0.20333333333333328
Adult income,minimax_adult_schema_budgetgrid,reference,0.9,140,10,10,1.0,1.29,0.032317865716108854,1.2266569831964267,1.3533430168035734,0.9,0.2425
Fair affairs,minimax_fair_schema_budgetgrid,llm_prompt_policy_frontier,0.8,30,10,10,1.0,1.864,0.09075377079537933,1.6861226092410566,2.041877390758944,0.9620000000000001,0.2966666666666666
Fair affairs,minimax_fair_schema_budgetgrid,llm_prompt_policy_frontier,0.8,40,10,10,1.0,1.782142857142857,0.11101086747887658,1.564561556884259,1.999724157401455,0.9350000000000002,0.2921428571428571
Fair affairs,minimax_fair_schema_budgetgrid,llm_prompt_policy_frontier,0.8,60,10,10,1.0,1.7308333333333334,0.11068703795101921,1.5138867389493358,1.947779927717331,0.9266666666666665,0.2908333333333333
